Private,Apps,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
0,9251,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
1,1205,278,31,50,1071,98,14510,5340,500,1400,84,91,12.5,39,10026,60
1,1415,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
1,2324,370,52,81,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79
1,232,99,7,29,402,237,7070,3640,400,3158,59,65,8.9,16,6286,36
1,325,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21
1,361,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52
1,860,285,32,70,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78
1,368,159,20,49,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64
1,2753,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
1,283,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
0,8586,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
1,1209,265,19,54,820,159,11450,5045,900,2500,72,75,11.4,13,9718,64
0,6071,1449,15,67,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55
1,809,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52
1,213,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
0,1877,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49
0,2729,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54
0,7117,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93
1,346,146,51,87,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54
0,2777,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49
0,5803,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62
1,4471,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92
0,2996,704,2,30,3006,338,5587,4845,500,600,61,63,16.0,11,5733,31
1,780,198,7,20,545,42,11750,2700,400,850,77,83,14.0,24,6475,76
1,392,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58
1,708,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54
0,572,320,45,72,1470,416,6073,3400,550,1400,71,71,16.4,31,6112,74
1,668,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
1,457,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75
1,695,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68
1,880,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
1,1998,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61
0,1801,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
1,910,450,31,73,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,65
1,1334,568,30,56,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88
0,16587,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68
0,1558,472,20,57,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53
0,5042,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81
0,12445,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
1,1016,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
1,1005,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80
1,1966,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
1,4076,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80
1,604,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75
1,335,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
1,674,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
1,222,91,16,41,484,541,11010,5208,550,500,58,78,10.4,26,9586,78
0,19315,3450,48,93,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63
1,2174,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77
1,3712,806,17,45,2677,714,12030,6140,1000,500,63,73,12.0,33,8847,86
0,1734,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48
1,81,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58
1,3035,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
1,2967,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
1,2925,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
1,5081,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66
0,21804,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
1,626,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52
1,2100,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69
1,1712,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72
1,2013,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59
0,1164,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60
1,1721,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
1,692,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,8990,39
0,1563,240,1,19,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57
0,6986,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
0,3540,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
1,1891,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53
1,1040,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
0,8681,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21.0,16,5569,54
1,633,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
1,1754,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75
1,855,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
0,19152,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
1,472,262,14,41,9950,71,7620,3050,400,400,51,53,17.0,21,3186,54
1,313,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
1,845,254,5,21,662,351,7600,3800,600,1200,59,74,19.0,40,5096,39
1,152,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50
0,944,440,14,34,2174,529,6360,2760,550,1498,77,77,15.0,5,6443,48
1,1422,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59
1,1444,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
0,2379,1292,8,25,4283,2973,4973,3192,500,1425,56,65,22.0,21,4078,38
1,1861,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72
1,735,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34
1,1209,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65
1,486,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82
1,627,172,16,40,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48
1,1784,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
1,1470,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94
1,2652,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
1,1220,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49
1,2694,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
1,1910,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79
1,692,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
1,807,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84
0,4809,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44
0,15039,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56
1,804,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
1,528,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75
1,247,100,19,49,309,639,11412,6430,500,900,89,93,8.3,37,11806,96
1,4856,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93
1,2096,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,10554,90
1,369,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24
0,1576,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100
1,938,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
0,12809,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48
0,7589,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17.0,7,11020,47
1,450,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
1,610,189,26,52,685,49,8200,3300,550,1000,63,69,12.0,16,8128,64
1,1380,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83
0,5220,865,19,53,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58
0,3306,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
1,331,225,15,36,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,49
1,861,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67
0,6855,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54
1,3708,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83
1,2212,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88
1,2688,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79
0,15698,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66
0,1455,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24
1,3847,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
0,3100,825,3,20,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65
1,665,226,17,44,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,48
1,604,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87
0,14474,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,8471,69
0,1166,510,9,33,2074,341,4938,2987,528,1702,67,77,17.0,11,6119,51
0,13528,1843,16,61,10168,1231,6550,4355,700,1560,93,96,17.4,16,9075,74
1,1217,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
1,1886,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69
1,7700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97
1,737,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
0,2172,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
1,511,186,23,51,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77
0,6502,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52
1,519,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55
0,5996,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
0,11651,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
1,1747,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
0,14292,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
0,8000,1464,17,70,6943,869,6550,4810,500,1500,69,85,22.0,21,5280,63
0,9735,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16.0,16,10178,71
1,1310,458,26,61,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81
1,3877,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67
1,848,298,25,55,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49
1,792,186,56,87,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67
0,689,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46
1,584,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62
1,377,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
0,2747,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62
1,7428,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
1,980,350,10,25,872,448,9890,4674,500,1350,52,57,14.4,15,6243,84
1,940,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69
1,632,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52
1,576,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
1,586,239,16,36,950,228,10520,3678,500,1000,48,68,13.0,32,8111,56
1,740,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59
0,5659,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40
1,2095,514,15,40,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97
0,1340,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
1,1646,542,12,30,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58
0,6540,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56
1,344,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43
1,662,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
1,516,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70
1,13218,1153,90,98,4540,146,19900,5910,675,1575,91,96,8.4,54,28320,99
0,9402,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
0,7693,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
1,1538,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
1,817,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69
1,1847,453,19,59,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30
1,372,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,10938,49
1,1489,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78
0,1458,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51
0,910,342,14,53,1434,417,7032,2780,550,1960,75,81,15.2,15,6490,36
1,723,361,10,30,951,706,7800,4000,350,1500,36,44,22.0,4,4923,84
0,5880,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
1,860,366,22,56,1040,52,9900,3075,300,1800,68,68,14.9,34,6357,68
1,688,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55
0,4144,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
0,3330,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42
1,495,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
1,838,159,11,25,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48
1,2936,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83
1,3550,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90
1,2887,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79
1,6548,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93
0,1047,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
1,12229,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68
1,469,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52
1,13789,1583,90,98,6188,53,18590,5950,625,1162,95,96,5.0,44,27206,97
1,8728,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
1,1243,414,33,60,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72
1,2307,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82
1,325,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,7164,68
1,1154,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61
1,1170,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88
1,484,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
1,2302,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77
1,12586,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97
1,2267,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,10872,65
1,903,213,15,49,971,305,10500,4545,600,600,66,71,14.1,27,7494,72
0,8427,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65
1,1231,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
1,582,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52
1,2286,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91
1,2075,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,9681,95
1,4186,526,81,96,1988,29,19629,5790,500,1200,94,99,9.0,64,22014,99
0,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50
0,1208,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
1,3646,585,25,69,2022,926,12170,6172,480,800,79,79,13.0,30,7495,97
0,3281,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21.0,4,4696,29
